pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,FF,94.2,1.05,-0.61,2289,204,-1.98,5.78,6.8,2.14,-0.11,R
660271,ST,76.1,0.09,1.2,1217,65,-2.01,5.74,6.5,2.39,0.89,R
660271,ST,77.2,0.55,0.75,2188,69,-2.05,5.6,6.7,2.11,0.8,R
660271,FS,90.1,0.58,-1.41,1000,317,-1.94,5.69,6.9,1.01,0.59,R
660271,FS,90,0.72,-1.36,1045,191,-1.83,5.76,7,0.18,1.29,R
660271,ST,79.8,1.12,0.25,2191,105,-2.17,5.7,6.6,2.98,-1.03,L
660271,FF,92.2,1.6,-0.15,2165,203,-1.67,5.95,6.9,1.3,2.56,R
660271,ST,80.6,0.56,1.03,2279,46,-2.06,5.64,6.6,0.99,1.91,R
660271,ST,78.8,0.61,0.65,2218,85,-2.11,5.61,6.7,0.84,1.55,R
660271,FS,89.4,0.78,-1.52,1848,313,-1.9,5.76,6.9,1.01,-0.37,R
660271,FS,90.1,1.54,-0.62,2128,211,-1.66,6.04,6.8,0.86,2,R
660271,FS,85.3,0.02,-0.63,1137,238,-1.64,6.31,6.6,2.1,0.34,L
660271,FS,86,0.19,-0.66,1231,236,-1.67,6.3,6.8,0.07,-0.08,L
660271,CU,68.4,-1.18,1.05,2068,21,-1.62,6.37,6.6,1.32,-1.03,L
660271,FF,94.3,1.48,-0.46,2284,213,-1.92,5.84,6.8,2.3,0.27,L
660271,ST,79,0.64,0.53,2289,82,-2.06,5.79,6.6,2.6,-0.61,L
660271,CU,71.5,-0.77,0.61,2998,118,-1.62,6.36,6.5,1.63,-0.14,L
660271,FS,84.2,0.1,-0.67,1101,305,-1.46,6.21,6.9,0.45,0.24,R
660271,FF,94.4,0.98,-0.67,2203,213,-1.83,5.92,6.8,2.83,-0.75,R
660271,ST,79.6,0.59,0.57,1115,173,-2.21,5.66,6.5,1.74,0.39,R
