pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,SL,86.3,0.64,1.05,2538,69,-2.09,5.8,6.6,1.24,0.32,R
660271,FC,90.8,0.54,0.36,2455,179,-2.21,5.9,6.7,1.26,-0.02,R
660271,SL,86.4,0.51,1.34,2611,67,-2.1,5.89,6.6,0.97,1.13,R
660271,FF,97.2,1.49,-0.7,2326,215,-1.93,6.08,6.7,2.96,-0.88,L
660271,FC,93,0.9,0.2,2469,200,-2.04,5.91,6.6,1.2,0.54,L
660271,FC,93.4,0.93,0.14,2521,196,-2.12,5.92,6.6,2.33,1.38,L
660271,FC,93.9,0.85,0.02,2417,198,-2.11,5.91,6.6,1.66,1.43,L
660271,FF,95.8,1.15,-0.3,2204,209,-1.85,6.17,6.8,2.68,-0.3,R
660271,SL,87.4,0.88,0.55,2451,80,-2.05,5.89,6.8,1.92,1.55,R
660271,SI,97.3,0.78,-1.58,2053,216,-1.81,6.02,6.9,0.28,0.73,R
660271,SL,84.4,0.85,1.04,2474,69,-2.07,5.92,6.6,1.76,0.67,R
660271,FC,92.3,0.68,0.17,2325,212,-2.25,5.97,6.5,2.02,0.43,R
660271,SL,87.7,0.32,0.85,2511,60,-2.65,5.67,6.8,2.57,1.17,R
660271,FC,87.3,0.33,0.48,2447,67,-2.58,5.68,6.8,3.51,-0.47,R
660271,FF,99.2,1.15,-0.54,2188,221,-2.22,5.92,6.9,2.13,0,R
660271,SI,98.7,0.68,-1.31,1887,277,-2.29,5.71,6.9,1.23,0.75,R
660271,SL,87.3,0.25,1.15,2559,54,-2.6,5.54,7,2.12,1.77,R
660271,SI,98,0.9,-1.06,1941,207,-2.26,5.79,6.9,2.31,0.88,R
660271,SL,87.1,0.16,1.39,2619,63,-2.62,5.52,6.7,2.7,0.66,R
660271,SL,86.7,0.32,1.29,2587,60,-2.7,5.56,6.9,1.43,0.97,R
660271,FF,98.8,1.17,-0.4,2160,216,-2.05,5.88,7,1.66,0.94,R
660271,FF,98.4,1.33,-0.23,2238,215,-2.17,5.96,6.9,1.99,1.16,R
660271,SI,96.9,0.83,-1.21,1925,233,-2.2,5.86,6.8,2.64,0.09,R
660271,SI,99.7,0.86,-1.26,2979,170,-2.08,5.92,6.8,2.4,-0.3,R
660271,SL,87.1,0.18,1.43,2658,65,-2.66,5.66,6.5,3.47,0.07,R
660271,FF,100.3,0.82,-0.69,2175,218,-2.2,5.96,6.8,1.25,-0.71,R
660271,SI,99.3,0.64,-1.27,2077,218,-2.28,5.82,6.8,1.79,0.25,R
660271,SL,85.4,0.24,1.35,2645,54,-2.64,5.67,6.8,0.8,1.15,R
660271,SL,88.1,0.53,0.99,2548,59,-2.7,5.72,6.8,2.21,0.3,R
660271,SL,85.9,0.35,1.16,2490,74,-2.61,5.67,6.9,2.93,-0.04,R
660271,SL,83.6,0.31,1.41,2350,73,-2.68,5.89,6.7,3.49,-0.63,R
660271,SL,86.2,0.43,1.01,2591,75,-3.38,5.23,6.6,2.53,0.93,R
660271,SL,86.7,0.37,1.29,2596,72,-2.75,5.55,6.9,1.83,0.34,R
660271,SI,98.7,0.47,-1.19,1910,227,-2.18,5.82,6.9,2.42,-0.1,R
660271,SL,86.7,0.58,1.2,2599,67,-2.58,5.68,6.7,1.7,-0.33,L
660271,SI,98.6,0.21,-1.01,2013,259,-2.55,5.79,6.8,3.94,-1.81,L
660271,FF,97.5,1.29,-0.26,2193,226,-2.46,5.88,6.7,2.92,-0.83,L
660271,SL,85.9,0.4,1.33,2546,68,-2.68,5.7,6.5,3.09,-1.87,L
660271,SI,100.6,0.59,-1.34,NA,NA,-2.37,5.79,6.8,0.62,0.22,L
660271,FF,97.3,1.34,-0.39,2249,212,-2.27,5.94,6.8,2.26,-0.46,L
660271,SI,94.7,0.63,-1.25,1720,223,-2,6,6.8,3.57,-0.78,R
660271,CU,73.3,-1.14,0.63,2193,33,-1.51,6.61,6.5,3.46,0.39,R
660271,SL,87.3,0.24,1.48,2625,65,-2.66,5.57,6.7,2.19,0.7,R
660271,SL,88.5,0.25,1,2564,69,-2.57,5.72,6.8,2.86,0.71,R
660271,SL,87.3,0.22,1.29,2683,64,-2.64,5.64,6.8,0.68,0.18,R
660271,FF,100.4,1.11,-0.37,2235,216,-2.17,5.87,6.8,3.83,1,L
660271,SL,87.3,0.36,1.53,2558,63,-2.61,5.67,6.9,2.11,1.15,L
660271,FF,99.5,1.03,-0.39,2212,219,-2.34,5.82,6.8,2.53,-0.07,L
660271,FS,92.2,0.24,-0.43,1077,242,-2.17,6.03,6.9,0.52,0.98,L
660271,FC,89.5,0.4,0.79,2529,59,-2.07,6.09,6.7,2.55,0.97,L
660271,FC,94.1,0.63,0.09,2405,194,-2.41,5.63,6.8,2.67,1.19,L
660271,FS,89.5,0.06,-0.19,1330,242,-1.85,6.01,6.9,0.38,1.26,L
660271,FC,93.1,0.46,0.16,2405,211,-2.56,5.61,6.8,2.13,-0.24,L
660271,SL,84.4,0.67,1.22,2434,66,-2.33,5.68,6.9,3.16,0.25,R
660271,FF,96.5,1.29,-0.2,2191,202,-1.86,5.98,6.8,3.45,1.04,R
660271,SL,86.2,0.74,0.77,2423,63,-2.59,5.6,6.7,3.61,-0.47,R
660271,SL,86.4,0.65,0.87,2411,68,-2.47,5.69,6.9,2.76,0.58,R
660271,SI,95.8,0.71,-1.35,1911,224,-2.3,5.75,7,1.02,0.57,R
660271,SL,85.9,0.42,1.2,2497,74,-2.39,5.68,6.8,1.25,1.06,R
660271,FS,89.8,0.43,-0.72,1240,237,-2,6.12,6.9,1.95,-0.48,R
660271,SL,86.5,0.21,1.38,2494,60,-2.62,5.68,6.7,2.01,0.45,R
